Conference,Year,Title,DOI,AuthorNames-Deduped,Award,Accessible,Early,Resources
Vis,2024,TopoMap++: A faster and more space efficient technique to compute projections with topological guarantees,10.1109/TVCG.2024.3456365,Vitoria Guardieiro;Felipe Inagaki de Oliveira;Harish Doraiswamy;Luis Gustavo Nonato;Claudio Silva,,,TRUE,V;O
Vis,2024,Touching the Ground: Evaluating the Effectiveness of Data Physicalizations for Spatial Data Analysis Tasks,10.1109/TVCG.2024.3456377,Bridger Herman;Cullen D. Jackson;Daniel F. Keefe,HM,TRUE,TRUE,P;V;O
Vis,2024,Towards Dataset-scale and Feature-oriented Evaluation of Text Summarization in Large Language Model Prompts,10.1109/TVCG.2024.3456398,Sam Yu-Te Lee;Aryaman Bahukhandi;Dongyu Liu;Kwan-Liu Ma,,,TRUE,P;V;O
Vis,2024,Towards Enhancing Low Vision Usability of Data Charts on Smartphones,10.1109/TVCG.2024.3456348,Yash Prakash;Pathan Aseef Khan;Akshay Kolgar Nayak;Sampath Jayarathna;Hae-Na Lee;Vikas Ashok,,TRUE,TRUE,V;O
Vis,2024,Trust Your Gut: Comparing Human and Machine Inference from Noisy Visualizations,10.1109/TVCG.2024.3456182,Ratanond Koonchanok;Michael E. Papka;Khairi Reda,,,TRUE,P;V;O
Vis,2024,Uncertainty Visualization of Critical Points of 2D Scalar Fields for Parametric and Nonparametric Probabilistic Models,10.1109/TVCG.2024.3456393,Tushar M. Athawale;Zhe Wang;David Pugmire;Kenneth Moreland;Qian Gong;Scott Klasky;Chris R. Johnson;Paul Rosen,,,TRUE,P;V;O
Vis,2024,Uncertainty-Aware Deep Neural Representations for Visual Analysis of Vector Field Data,10.1109/TVCG.2024.3456360,Atul Kumar;Siddharth Garg;Soumya Dutta,,TRUE,TRUE,P;V;O
Vis,2024,Understanding Visualization Authoring Techniques for Genomics Data in the Context of Personas and Tasks,10.1109/TVCG.2024.3456298,Astrid van den Brandt;Sehi L'Yi;Huyen N. Nguyen;Anna Vilanova;Nils Gehlenborg,,,TRUE,P;V;O
Vis,2024,UnDRground Tubes: Exploring Spatial Data With Multidimensional Projections and Set Visualization,10.1109/TVCG.2024.3456314,Nikolaus Piccolotto;Markus Wallinger;Silvia Miksch;Markus Bögl,,,TRUE,P;V;O
Vis,2024,Unmasking Dunning-Kruger Effect in Visual Reasoning & Judgment,10.1109/TVCG.2024.3456326,Mengyu Chen;Yijun Liu;Emily Wall,,,TRUE,V;O
Vis,2024,Unveiling How Examples Shape Visualization Design Outcomes,10.1109/TVCG.2024.3456407,Hannah K. Bako;Xinyi Liu;Grace Ko;Hyemi Song;Leilani Battle;Zhicheng Liu,,TRUE,TRUE,V;O
Vis,2024,User Experience of Visualizations in Motion: A Case Study and Design Considerations,10.1109/TVCG.2024.3456319,Lijie Yao;Federica Bucchieri;Victoria McArthur;Anastasia Bezerianos;Petra Isenberg,,TRUE,TRUE,P;V;O
Vis,2024,VADIS: A Visual Analytics Pipeline for Dynamic Document Representation and Information-Seeking,10.1109/TVCG.2024.3456339,Rui Qiu;Yamei Tu;Po-Yin Yen;Han-Wei Shen,BP,,TRUE,V;O
Vis,2024,VisEval: A Benchmark for Data Visualization in the Era of Large Language Models,10.1109/TVCG.2024.3456320,Nan Chen;Yuge Zhang;Jiahang Xu;Kan Ren;Yuqing Yang,BP,,TRUE,P;V;O
Vis,2024,Visual Analysis of Multi-outcome Causal Graphs,10.1109/TVCG.2024.3456346,Mengjie Fan;Jinlu Yu;Daniel Weiskopf;Nan Cao;Huaiyu Wang;Liang Zhou,,TRUE,TRUE,P;V;O
Vis,2024,Visual Support for the Loop Grafting Workflow on Proteins,10.1109/TVCG.2024.3456401,Filip Opálený;Pavol Ulbrich;Joan Planas-Iglesias;Jan Byška;Jan Štourač;David Bednář;Katarína Furmanová;Barbora Kozlikova,HM,,TRUE,P;V;O
